City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,2021-04-23 20:51:01,-46.1927,168.8643,45.0,95,53,1.99,broken clouds
1,Khatanga,RU,2021-04-23 20:51:01,71.9667,102.5,33.06,97,100,21.21,overcast clouds
2,Tiksi,RU,2021-04-23 20:51:01,71.6872,128.8694,4.64,98,97,7.18,overcast clouds
3,Maputo,MZ,2021-04-23 20:51:02,-25.9653,32.5892,64.0,88,75,4.61,broken clouds
4,Kodiak,US,2021-04-23 20:51:02,57.79,-152.4072,39.2,87,90,9.22,light rain
5,Tasiilaq,GL,2021-04-23 20:51:02,65.6145,-37.6368,39.2,45,90,5.75,overcast clouds
6,Vostok,RU,2021-04-23 20:51:02,46.4856,135.8833,40.96,85,100,6.4,overcast clouds
7,Te Anau,NZ,2021-04-23 20:51:03,-45.4167,167.7167,45.64,87,64,2.62,light rain
8,Saskylakh,RU,2021-04-23 20:51:03,71.9167,114.0833,33.58,96,100,18.95,light snow
9,Jamestown,US,2021-04-23 20:49:29,42.097,-79.2353,53.6,32,1,16.11,clear sky
10,Kununurra,AU,2021-04-23 20:51:04,-15.7667,128.7333,66.2,68,70,4.61,broken clouds
11,Wooster,US,2021-04-23 20:49:41,40.8051,-81.9351,59.0,38,75,8.05,broken clouds
12,Broken Hill,AU,2021-04-23 20:51:04,-31.95,141.4333,48.2,76,61,7.92,broken clouds
13,Hasaki,JP,2021-04-23 20:51:04,35.7333,140.8333,46.4,87,20,3.44,few clouds
14,Albany,US,2021-04-23 20:51:05,42.6001,-73.9662,60.01,21,5,8.01,clear sky
15,Avarua,CK,2021-04-23 20:51:05,-21.2078,-159.775,82.4,74,75,16.11,broken clouds
16,Bluff,NZ,2021-04-23 20:50:43,-46.6,168.3333,45.0,95,76,1.99,broken clouds
17,Hermanus,ZA,2021-04-23 20:50:53,-34.4187,19.2345,59.0,82,99,1.01,overcast clouds
18,Punta Arenas,CL,2021-04-23 20:51:06,-53.15,-70.9167,50.0,87,75,5.75,broken clouds
19,Barranca,PE,2021-04-23 20:51:06,-10.75,-77.7667,69.24,79,20,8.68,few clouds
20,Rikitea,PF,2021-04-23 20:51:06,-23.1203,-134.9692,79.09,67,100,17.78,overcast clouds
21,Ilulissat,GL,2021-04-23 20:51:07,69.2167,-51.1,35.6,69,100,3.44,overcast clouds
22,Valcau De Jos,RO,2021-04-23 20:51:07,47.1167,22.7333,42.8,81,49,8.05,scattered clouds
23,Tessalit,ML,2021-04-23 20:51:07,20.1986,1.0114,88.75,6,0,7.34,clear sky
24,Narsaq,GL,2021-04-23 20:51:08,60.9167,-46.05,48.2,46,1,6.91,clear sky
25,Wesselsbron,ZA,2021-04-23 20:51:08,-27.8549,26.3658,60.26,31,6,5.41,clear sky
26,Shingu,JP,2021-04-23 20:48:41,33.7333,135.9833,57.38,72,100,2.93,overcast clouds
