City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,2021-04-19 20:46:08,-0.7393,-90.3518,80.6,74,20,18.41
1,Ferkessedougou,CI,2021-04-19 20:50:06,9.6,-5.2,86.61,46,100,6.42
2,Busselton,AU,2021-04-19 20:50:07,-33.65,115.3333,53.01,98,77,7.78
3,Butaritari,KI,2021-04-19 20:50:07,3.0707,172.7902,83.23,76,94,14.0
4,Cochrane,CA,2021-04-19 20:50:08,51.1834,-114.4687,39.0,60,90,11.5
5,Mataura,NZ,2021-04-19 20:46:09,-46.1927,168.8643,54.0,75,0,3.0
6,Isangel,VU,2021-04-19 20:50:08,-19.55,169.2667,81.81,79,46,3.49
7,Store Heddinge,DK,2021-04-19 20:50:09,55.3097,12.3889,51.01,61,0,1.14
8,Cermik,TR,2021-04-19 20:50:09,38.1361,39.4493,60.8,72,75,4.61
9,Gweta,BW,2021-04-19 20:50:09,-20.1833,25.2333,65.91,28,0,7.78
10,Ostrovnoy,RU,2021-04-19 20:50:10,68.0531,39.5131,35.74,94,79,16.64
11,Upernavik,GL,2021-04-19 20:46:14,72.7868,-56.1549,7.03,81,26,6.85
12,Constitucion,CL,2021-04-19 20:48:08,-35.3333,-72.4167,60.71,83,58,8.61
13,East London,ZA,2021-04-19 20:45:59,-33.0153,27.9116,65.39,75,100,7.94
14,Albany,US,2021-04-19 20:50:11,42.6001,-73.9662,62.01,42,100,1.01
15,Tasiilaq,GL,2021-04-19 20:50:11,65.6145,-37.6368,26.6,68,3,9.22
16,Jamestown,US,2021-04-19 20:45:20,42.097,-79.2353,61.0,38,75,8.05
17,Bluff,NZ,2021-04-19 20:50:11,-46.6,168.3333,55.0,74,0,4.0
18,Umm Kaddadah,SD,2021-04-19 20:50:12,13.6017,26.6876,85.37,8,6,9.22
19,Bethel,US,2021-04-19 20:50:12,41.3712,-73.414,57.99,67,90,5.75
20,Sovetskaya,RU,2021-04-19 20:50:13,44.7769,41.1722,53.92,95,100,7.87
21,Canon City,US,2021-04-19 20:50:13,38.441,-105.2424,55.4,41,40,23.02
22,La Ronge,CA,2021-04-19 20:50:14,55.1001,-105.2842,35.6,41,100,16.11
23,Hermanus,ZA,2021-04-19 20:50:14,-34.4187,19.2345,61.0,80,88,11.99
24,Rikitea,PF,2021-04-19 20:50:14,-23.1203,-134.9692,77.99,72,0,10.31
25,Castro,BR,2021-04-19 20:50:15,-24.7911,-50.0119,59.4,87,25,4.79
26,Hobart,AU,2021-04-19 20:46:29,-42.8794,147.3294,52.0,76,75,8.05
27,Atar,MR,2021-04-19 20:50:15,20.5169,-13.0499,83.46,11,0,4.18
28,Ostersund,SE,2021-04-19 20:50:16,63.1792,14.6357,48.2,40,5,5.75
29,Arraial Do Cabo,BR,2021-04-19 20:50:16,-22.9661,-42.0278,77.0,78,0,19.57
30,Udachnyy,RU,2021-04-19 20:50:16,66.4167,112.4,-12.84,100,60,2.13
31,Cape Town,ZA,2021-04-19 20:48:07,-33.9258,18.4232,63.0,72,0,5.75
32,Linxia,CN,2021-04-19 20:50:17,35.6003,103.2064,41.72,67,100,4.21
33,Timra,SE,2021-04-19 20:50:17,62.487,17.3257,32.0,93,0,3.44
34,Ahuimanu,US,2021-04-19 20:46:24,21.4447,-157.8378,82.0,54,20,5.46
35,Brae,GB,2021-04-19 20:50:18,60.3964,-1.353,46.4,76,100,16.11
36,Zarand,IR,2021-04-19 20:50:18,30.8127,56.564,64.94,25,73,2.84
37,Thompson,CA,2021-04-19 20:46:57,55.7435,-97.8558,26.6,54,90,13.8
38,Norman Wells,CA,2021-04-19 20:47:06,65.282,-126.8329,48.2,40,1,4.61
39,Les Herbiers,FR,2021-04-19 20:50:19,46.8667,-1.0167,52.0,72,100,5.14
40,Oktyabrskoye,RU,2021-04-19 20:50:19,43.0645,44.7417,53.6,76,98,4.47
41,Hylkje,NO,2021-04-19 20:50:20,60.5103,5.3544,46.99,71,0,3.44
42,Avarua,CK,2021-04-19 20:46:20,-21.2078,-159.775,80.6,74,20,10.36
43,Pimentel,PE,2021-04-19 20:50:20,-6.8367,-79.9342,80.6,54,0,17.27
44,Hervey Bay,AU,2021-04-19 20:50:21,-25.2986,152.8535,61.0,85,0,4.0
45,Lebu,CL,2021-04-19 20:50:21,-37.6167,-73.65,58.19,96,100,15.79
46,Mayo,US,2021-04-19 20:50:22,38.8876,-76.5119,61.0,72,1,8.05
47,Yellowknife,CA,2021-04-19 20:50:22,62.456,-114.3525,33.8,64,40,5.75
48,Porto Novo,BJ,2021-04-19 20:50:23,6.4965,2.6036,84.2,79,20,8.05
49,Kodinsk,RU,2021-04-19 20:50:23,58.6881,99.1844,16.14,91,100,18.25
50,Kurilsk,RU,2021-04-19 20:50:24,45.2333,147.8833,37.11,91,100,8.46
51,Kapaa,US,2021-04-19 20:50:24,22.0752,-159.319,80.01,69,1,4.61
52,Punta Arenas,CL,2021-04-19 20:46:34,-53.15,-70.9167,53.6,54,20,17.27
53,Airai,TL,2021-04-19 20:50:25,-8.9266,125.4092,56.95,85,63,1.36
54,Luoyang,CN,2021-04-19 20:50:25,34.6836,112.4536,58.06,92,100,7.38
55,Henties Bay,NA,2021-04-19 20:50:25,-22.116,14.2845,77.0,59,6,1.01
56,Georgetown,MY,2021-04-19 20:47:10,5.4112,100.3354,77.0,94,40,2.3
57,Cabo San Lucas,MX,2021-04-19 20:48:46,22.8909,-109.9124,84.2,47,1,4.61
58,Santa Fe,AR,2021-04-19 20:50:26,-31.6333,-60.7,76.59,54,0,7.9
59,Tuatapere,NZ,2021-04-19 20:50:26,-46.1333,167.6833,55.0,74,4,4.0
60,Palmer,US,2021-04-19 20:50:27,42.1584,-72.3287,62.6,34,75,8.05
61,Narsaq,GL,2021-04-19 20:50:27,60.9167,-46.05,42.8,36,75,6.91
62,Port Alfred,ZA,2021-04-19 20:50:28,-33.5906,26.891,64.33,74,100,11.61
63,Bengkulu,ID,2021-04-19 20:50:28,-3.8004,102.2655,75.4,88,55,3.47
